I enjoy meeting new people.,I prefer planning over spontaneity.,I often worry about things.,I like trying new things.,I follow through on tasks.,I sympathize with others' feelings.,I enjoy abstract ideas.,I avoid risky activities.,I prefer organized environments.,I adapt quickly to change.,I find it easy to start conversations.,I like to keep my emotions private.,I get irritated easily.,I like to explore possibilities.,I keep a tidy workspace.,I try to see things from others' perspectives.,I enjoy creative activities.,I tend to procrastinate.,I learn new skills quickly.,I prefer to stick to familiar routines.,personality
Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Introvert
Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Thinker
Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Thinker
Somewhat Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Thinker
Agree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Feeler
Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Thinker
Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Agree,Introvert
Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Extrovert
Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Feeler
Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Extrovert
Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Feeler
Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Introvert
Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Extrovert
Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Feeler
Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Thinker
Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Extrovert
Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Introvert
Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Introvert
Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Thinker
Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Feeler
Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Introvert
